parent_pair,sub_pair_A/B,bid_price_A/B,ask_price_A/B,sub_pair_A/C,bid_price_A/C,ask_price_A/C,sub_pair_B/C,bid_price_B/C,ask_price_B/C,price_A/C_2,is_s<__1,is_g>__1,s<1_diff,g>1_diff,diff,chosen_diff
ETH-EUR-AEUR,ETHEUR,2133.65,2133.84,ETHAEUR,2127.15,2133.05,EURAEUR,0.9997,0.9999,2133.626616,1.0002703246524929,1.0027548151282233,-0.0002703246524928815,0.002754815128223287,0.002754815128223287,g>1_diff
ETH-USDT-ZAR,ETHUSDT,2299.71,2299.72,ETHZAR,44452.0,44518.0,USDTZAR,19.32,19.33,44453.58759999999,0.9985531155936922,0.9995140196166652,0.0014468844063078024,-0.0004859803833348053,0.0014468844063078024,s<1_diff
ETH-BTC-USDT,ETHBTC,0.05359,0.0536,ETHUSDT,2299.71,2299.72,BTCUSDT,42974.03,42975.45,2303.48412,1.0016367731723863,1.0014211651469096,-0.0016367731723863077,0.0014211651469095976,0.0014211651469095976,g>1_diff
ETH-USDT-UAH,ETHUSDT,2299.71,2299.72,ETHUAH,102586.0,102696.0,USDTUAH,44.6,44.61,102590.50919999999,0.9989727856975927,0.9998154329050748,0.0010272143024072644,-0.00018456709492520318,0.0010272143024072644,s<1_diff
ETH-USDT-BIDR,ETHUSDT,2299.71,2299.72,ETHBIDR,36181478.0,36217176.0,USDTBIDR,15732.0,15735.0,36186094.199999996,0.9991417939377712,0.9999325544412531,0.0008582060622287502,-6.744555874693692e-05,0.0008582060622287502,s<1_diff
LTC-BTC-USDT,LTCBTC,0.001581,0.001582,LTCUSDT,67.9,67.91,BTCUSDT,42974.03,42975.45,67.9871619,1.0011362376675013,1.0006176941089837,-0.0011362376675012609,0.0006176941089837129,0.0006176941089837129,g>1_diff
ETH-TUSD-USDT,ETHTUSD,2334.42,2334.99,ETHUSDT,2299.71,2299.72,TUSDUSDT,0.9857,0.9859,2302.066641,1.0010204029186163,1.000577374538529,-0.00102040291861627,0.0005773745385289075,0.0005773745385289075,g>1_diff
ETH-USDT-TRY,ETHUSDT,2299.71,2299.72,ETHTRY,70735.0,70756.0,USDTTRY,30.74,30.75,70716.39,0.9994401888179094,0.9994074418604652,0.000559811182090586,-0.0005925581395348489,0.000559811182090586,s<1_diff
ETH-USDT-DAI,ETHUSDT,2299.71,2299.72,ETHDAI,2298.69,2299.69,USDTDAI,0.9994,0.9995,2298.57014,0.9995130387139135,0.999843464756013,0.0004869612860864958,-0.00015653524398695495,0.0004869612860864958,s<1_diff
ETH-BTC-ZAR,ETHBTC,0.05359,0.0536,ETHZAR,44452.0,44518.0,BTCZAR,829760.0,830157.0,44496.4152,0.9995151444359586,1.000333807252767,0.00048485556404143093,0.0003338072527669933,0.00048485556404143093,s<1_diff
ETH-USDT-PLN,ETHUSDT,2299.71,2299.72,ETHPLN,9269.0,9272.0,USDTPLN,4.029,4.03,9267.8716,0.999554745470233,0.999625805372748,0.00044525452976695856,-0.00037419462725196695,0.00044525452976695856,s<1_diff
ETH-BTC-BRL,ETHBTC,0.05359,0.0536,ETHBRL,11500.4,11502.67,BTCBRL,214685.0,214686.0,11507.169600000001,1.0003911787437179,1.0003973035720497,-0.0003911787437178571,0.0003973035720497009,0.0003973035720497009,g>1_diff
ETH-BTC-AEUR,ETHBTC,0.05359,0.0536,ETHAEUR,2127.15,2133.05,BTCAEUR,39707.94,39811.91,2133.918376,1.0004071053186752,1.0003753870672025,-0.00040710531867516053,0.0003753870672025261,0.0003753870672025261,g>1_diff
ETH-USDT-BRL,ETHUSDT,2299.71,2299.72,ETHBRL,11500.4,11502.67,USDTBRL,4.999,5.0,11498.599999999999,0.9996461691068247,0.9996391682028452,0.0003538308931753109,-0.00036083179715484803,0.0003538308931753109,s<1_diff
